# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size200_cover10.faa.out.hmmsearch.tab
# list_file=oxli.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in oxli.txt = 53

	PF00067	PF00115	PF00116	PF00117	PF00120	PF00142	PF00148	PF00173	PF00174	PF00175	PF00194	PF00208	PF00310	PF00384	PF00441	PF00484	PF00696	PF00795	PF00970	PF00988	PF01077	PF01493	PF01568	PF01645	PF02142	PF02239	PF02335	PF02461	PF02560	PF02665	PF02771	PF02786	PF02787	PF02812	PF03060	PF03063	PF03069	PF03139	PF03404	PF03460	PF03951	PF04324	PF04879	PF04898	PF05088	PF07732	PF07992	PF11844	PF13247	PF13442	PF13447	PF13806	PF14691	PF14710	PF14711
Pusillimonas sp. T7-7	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0
Gallibacterium anatis UMN179	0	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0
Haemophilus parainfluenzae T3T1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0
Halobacteriovorax marinus SJ	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
Lactobacillus buchneri NRRL B-30929	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Pyrococcus sp. NA2	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0
Lacinutrix sp. 5H-3-7-4	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0
Glaciecola sp. 4H-3-7+YE-5	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Dokdonia sp. 4H-3-7-5	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0
Porphyromonas asaccharolytica DSM 20707	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0
Thermodesulfobium narugense DSM 14796	0	0	0	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1
Treponema brennaborense DSM 12168	0	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0
Desulfovibrio africanus str. Walvis Bay	1	0	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0
Cellulomonas fimi ATCC 484	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1
Haliscomenobacter hydrossis DSM 1100	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0
Acidianus hospitalis W1	0	1	0	1	1	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0
Tepidanaerobacter acetatoxydans Re1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0
Mahella australiensis 50-1 BON	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0
Alteromonas naphthalenivorans	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0
Pseudomonas fulva 12-X	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Bifidobacterium breve ACS-071-V-Sch8b	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Acidithiobacillus ferrivorans SS3	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1
Mycobacterium sinense	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Hoyosella subflava DQS3-9A1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Marinomonas posidonica IVIA-Po-181	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0
Treponema azotonutricium ZAS-9	0	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	0
Treponema primitia ZAS-2	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0
Methanotorris igneus Kol 5	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0
Desulfotomaculum nigrificans CO-1-SRB	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0
Methylomonas methanica MC09	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0
Methanobacterium paludis	0	0	0	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0
Lactobacillus kefiranofaciens ZW3	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Thioalkalimicrobium cyclicum ALM1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0
Desulfotomaculum ruminis DSM 2154	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0
Isoptericola variabilis 225	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0
Ralstonia solanacearum Po82	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Corynebacterium ulcerans 809	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Ramlibacter tataouinensis TTB310	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0
Enterobacter aerogenes KCTC 2190	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1
Thermodesulfobacterium geofontis OPF15	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0
Pyrococcus yayanosii CH1	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0
Buchnera aphidicola (Cinara tujafilina)	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Vibrio anguillarum 775	0	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0
Halopiger xanaduensis SH-6	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0
Thermodesulfatator indicus DSM 15286	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	1	0	0
Pseudothermotoga thermarum DSM 5069	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Methanosalsum zhilinae DSM 4017	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0
Cellulomonas gilvus ATCC 13127	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1
Flexistipes sinusarabici DSM 4947	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0
Zymomonas mobilis subsp. pomaceae ATCC 29192	0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0
Runella slithyformis DSM 19594	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0
Paenibacillus mucilaginosus KNP414	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0
Francisella sp. TX077308	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Myxococcus fulvus HW-1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0
Candidatus Moranella endobia PCIT	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Cupriavidus necator N-1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Candidatus Midichloria mitochondrii IricVA	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0
Brevibacillus laterosporus LMG 15441	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0
Nitrosomonas sp. Is79A3	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0
Pseudomonas putida S16	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
Treponema caldarium DSM 7334	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Weissella koreensis KACC 15510	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0
Advenella kashmirensis WT001	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0
Capnocytophaga canimorsus Cc5	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Collimonas fungivorans Ter331	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Thermococcus sp. 4557	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0
Borreliella bissettii DN127	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cyclobacterium marinum DSM 745	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	1	1	0	0
Borrelia afzelii PKo	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Brachyspira intermedia PWS/A	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Pyrolobus fumarii 1A	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0
Stenotrophomonas maltophilia JV3	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Haloarcula hispanica ATCC 33960	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0
Marichromatium purpuratum 984	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0
Muricauda ruestringensis DSM 13258	0	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0
Mycoplasma putrefaciens KS1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Enterobacter asburiae LF7a	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1
Lactobacillus ruminis ATCC 27782	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Lactobacillus sanfranciscensis TMW 1.1304	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Roseburia hominis A2-183	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0
Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Chloracidobacterium thermophilum B	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0
Micavibrio aeruginosavorus ARL-13	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0
Glaciecola nitratireducens FR1064	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0
Taylorella asinigenitalis MCE3	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0
Thioalkalimicrobium aerophilum AL3	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0
Thioalkalivibrio paradoxus ARh 1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1
Thermobacillus composti KWC4	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0
Thiocystis violascens DSM 198	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0
Acidaminococcus intestini RyC-MR95	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Pelagibacterium halotolerans B2	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	0
Rhodanobacter denitrificans	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1
Natronobacterium gregoryi SP2	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0
Natrinema pellirubrum DSM 15624	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0
Mycobacterium rhodesiae NBB3	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Halobacterium sp. DL1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0
Hyphomicrobium denitrificans 1NES1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1
Mesorhizobium australicum WSM2073	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0
Desulfosporosinus meridiei DSM 13257	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0
Desulfitobacterium metallireducens DSM 15288	0	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	1	0	0
Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Desulfotomaculum gibsoniae DSM 7213	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0
Thermovirga lienii DSM 17291	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0
Pseudoxanthomonas spadix BD-a59	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0
