	sulfur	carbon	oxygen	iron	nitrogen
GCF_000706685.1	0.1	0.01	0.23	0.19	0.41
GCF_000219215.1	0.1	0.04	0.42	0.69	0.78
GCF_000590495.2	0.1	0.04	0.32	0.58	0.74
GCF_000834395.1	0.1	0.06	0.27	0.62	0.66
GCF_000019045.1	0.1	0.04	0.37	0.4	0.47
GCF_000757825.1	0.1	0.05	0.14	0.63	0.65
GCF_001642655.1	0.1	0.06	0.38	0.1	0.31
GCF_000520015.2	0.1	0.06	0.27	0.65	0.69
GCF_001644665.1	0.1	0.06	0.01	0.08	0.29
GCF_000017865.1	0.1	0.02	0	0.05	0.25
GCF_001439585.2	0.1	0.04	0.38	0.34	0.62
GCF_000166415.1	0.1	0.22	0.12	0.1	0.31
GCF_001586165.1	0.1	0.05	0.24	0.55	0.62
GCF_000262165.1	0.1	0.03	0.42	0.21	0.71
GCF_000317835.1	0.1	0.03	0.35	0.3	0.66
GCF_000165835.1	0.1	0.04	0.33	0.59	0.77
GCF_001010805.1	0.09	0.03	0.37	0.64	0.55
GCF_000022565.1	0.09	0.09	0.42	0.59	0.66
GCF_000471925.1	0.09	0.04	0.42	0.72	0.78
GCF_000203875.1	0.09	0.04	0.31	0.78	0.75
GCF_000012845.1	0.09	0.03	0.12	0.47	0.36
GCF_001028645.1	0.09	0.01	0.23	0.14	0.39
GCF_000284515.1	0.09	0.02	0.4	0.34	0.47
GCF_000410575.1	0.09	0.03	0.26	0.61	0.68
GCF_000007645.1	0.09	0.01	0.24	0.21	0.4
GCF_000224675.1	0.09	0.07	0.2	0.19	0.6
GCF_000152245.2	0.09	0.19	0.36	0.05	0.33
GCF_001644565.1	0.09	0.03	0.35	0.29	0.63
GCF_000237305.1	0.09	0.04	0.42	0.24	0.72
GCF_000009205.1	0.09	0.09	0.04	0.14	0.3
GCF_000725385.1	0.09	0.04	0.26	0.75	0.7
GCF_000009885.1	0.09	0.07	0.25	0.36	0.67
GCF_000498975.2	0.09	0.04	0.35	0.48	0.69
GCF_000010305.1	0.09	0.04	0.2	0.53	0.61
GCF_000093025.1	0.09	0.18	0.31	0.68	0.72
GCF_000724485.1	0.09	0.05	0.36	0.41	0.62
GCF_000011145.1	0.09	0.03	0.37	0.36	0.55
GCF_000953635.1	0.09	0.04	0.21	0.56	0.5
GCF_000236065.1	0.09	0.18	0.41	0.55	0.78
GCF_000091305.1	0.09	0.04	0.31	0.26	0.72
GCF_001298525.1	0.09	0.03	0.25	0.34	0.53
GCF_000007765.1	0.09	0.02	0.04	0.09	0.31
GCF_000215745.1	0.09	0.07	0.36	0.6	0.71
GCF_000025965.1	0.09	0.04	0.33	0.87	0.67
GCF_000743945.1	0.09	0.04	0.22	0.3	0.47
GCF_000517405.1	0.09	0.03	0.15	0.18	0.39
GCF_000590455.1	0.09	0.01	0.35	0.34	0.52
GCF_000800825.1	0.09	0.01	0.38	0.34	0.49
GCF_000508205.1	0.09	0.04	0.33	0.53	0.75
GCF_000317875.1	0.09	0.02	0.16	0.39	0.35
GCF_000723505.1	0.09	0.02	0	0.3	0.24
GCF_000800295.1	0.09	0.0	0	0.04	0.18
GCF_000218895.1	0.09	0.05	0.32	0.5	0.69
GCF_000146065.2	0.09	0.01	0	0.08	0.2
GCF_001281505.1	0.09	0.02	0.09	0.15	0.35
GCF_000279165.1	0.09	0.04	0.4	0.8	0.73
GCF_000313175.2	0.09	0.03	0.34	0.4	0.62
GCF_000153165.2	0.09	0.04	0.3	0.55	0.61
GCF_000021365.1	0.09	0.04	0.27	0.47	0.71
GCF_000179635.2	0.09	0.09	0.24	0.07	0.23
GCF_000196895.1	0.09	0.11	0.29	0.25	0.62
GCF_000024085.1	0.09	0.03	0.22	0.39	0.53
GCF_000022205.1	0.08	0.08	0.31	0.25	0.57
GCF_000240325.1	0.08	0.08	0.46	0.25	0.73
GCF_000013945.1	0.08	0.03	0.33	0.4	0.64
GCF_000013745.1	0.08	0.13	0.62	0.89	0.79
GCF_000246855.1	0.08	0.05	0.4	0.4	0.74
GCF_000739375.1	0.08	0.04	0.32	0.54	0.73
GCF_001302585.1	0.08	0.03	0.31	0.26	0.75
GCF_000812665.2	0.08	0.06	0.24	0.59	0.64
GCF_000010805.1	0.08	0.08	0.33	0.22	0.72
GCF_000236685.1	0.08	0.08	0.24	0.18	0.3
GCF_001314995.1	0.08	0.08	0.08	0.49	0.4
GCF_001558475.1	0.08	0.03	0.22	0.77	0.46
GCF_000283655.1	0.08	0.2	0.52	0.66	0.76
GCF_000367425.1	0.08	0.07	0.25	0.37	0.67
GCF_001688665.1	0.08	0.08	0.35	0.13	0.45
GCF_000724775.3	0.08	0.02	0.21	0.38	0.51
GCF_000316685.1	0.08	0.08	0.66	0.56	0.55
GCF_000010005.1	0.08	0.04	0.09	0.08	0.14
GCF_000183135.1	0.08	0.07	0.53	0.45	0.5
GCF_000247715.1	0.08	0.04	0.44	0.25	0.67
GCF_001548015.1	0.08	0.2	0.65	0.62	0.78
GCF_000016345.1	0.08	0.07	0.4	0.66	0.68
GCF_000021325.1	0.08	0.06	0.63	0.63	0.76
GCF_001553955.1	0.08	0.04	0.23	0.32	0.57
GCF_000165465.1	0.08	0.02	0	0.11	0.24
GCF_000212735.1	0.08	0.04	0.34	0.37	0.69
GCF_000972245.3	0.08	0.03	0.33	0.31	0.61
GCF_001558415.1	0.08	0.04	0.27	0.82	0.55
GCF_000512915.1	0.08	0.07	0.07	0.09	0.36
GCF_000022525.1	0.08	0.01	0.12	0.38	0.33
GCF_000166135.1	0.08	0.05	0.44	0.23	0.75
GCF_000012445.1	0.08	0.05	0.43	0.51	0.75
GCF_000019945.1	0.08	0.2	0.66	0.57	0.78
GCF_000009305.1	0.08	0.02	0.16	0.39	0.36
GCF_000025805.1	0.08	0.04	0.35	0.37	0.59
GCF_000013565.1	0.08	0.12	0.55	0.43	0.73
GCF_000147335.1	0.08	0.14	0.67	0.4	0.79
GCF_000550805.1	0.08	0.03	0.47	0.31	0.49
GCF_000016185.1	0.08	0.1	0.55	0.79	0.71
GCF_001021045.1	0.08	0.02	0.36	0.29	0.43
GCF_000265365.1	0.08	0.08	0	0.04	0.28
GCF_000196275.1	0.08	0.03	0.31	0.38	0.67
GCF_000517625.1	0.08	0.11	0.32	0.15	0.62
GCF_000973545.1	0.08	0.04	0.28	0.09	0.35
GCF_000344805.1	0.08	0.07	0.68	0.74	0.88
GCF_000336425.1	0.07	0.05	0.34	0.59	0.69
GCF_000219535.2	0.07	0.04	0.38	0.34	0.69
GCF_001278845.1	0.07	0.03	0.04	0.3	0.31
GCF_000008485.1	0.07	0.02	0.17	0.62	0.46
GCF_001590615.1	0.07	0.02	0.22	0.49	0.53
GCF_000026125.1	0.07	0.04	0.27	0.54	0.7
GCF_000019845.1	0.07	0.06	0.6	0.66	0.8
GCF_000287215.2	0.07	0.05	0.27	0.79	0.68
GCF_000283575.1	0.07	0.09	0.09	0.05	0.29
GCF_000020685.1	0.07	0.02	0.33	0.29	0.68
GCF_000214355.1	0.07	0.1	0.43	0.11	0.3
GCF_000093145.3	0.07	0.04	0.32	0.74	0.75
GCF_000214175.1	0.07	0.04	0.32	0.23	0.68
GCF_001687665.2	0.07	0.02	0.34	0.34	0.49
GCF_000016905.1	0.07	0.02	0	0.05	0.24
GCF_000767275.2	0.07	0.03	0	0.1	0.32
GCF_000091785.1	0.07	0.04	0.24	0.39	0.54
GCF_000233435.1	0.07	0.03	0.25	0.28	0.18
GCF_000317555.1	0.07	0.09	0.67	0.37	0.74
GCF_000993785.2	0.07	0.04	0.32	0.21	0.68
GCF_000184345.1	0.07	0.06	0.26	0.16	0.32
GCF_000013905.1	0.07	0.04	0.22	0.38	0.59
GCF_000512355.1	0.07	0.03	0.17	0.33	0.48
GCF_001605965.1	0.07	0.04	0.35	0.51	0.68
GCF_001655245.1	0.07	0.04	0.43	0.23	0.7
GCF_000008765.1	0.07	0.06	0.42	0.16	0.36
GCF_000006765.1	0.07	0.04	0.4	0.8	0.74
GCF_000017205.1	0.07	0.04	0.4	0.81	0.74
GCF_000349845.1	0.07	0.04	0.25	0.72	0.69
GCF_000092265.1	0.07	0.03	0.15	0.34	0.49
GCF_001275365.1	0.07	0.04	0.08	0.05	0.29
GCF_000010725.1	0.07	0.07	0.58	0.66	0.81
GCF_000953695.1	0.07	0.04	0.24	0.8	0.47
GCF_000235405.2	0.07	0.04	0	0.08	0.3
GCF_001687805.1	0.07	0.04	0.29	0.84	0.5
GCF_001010785.1	0.07	0.04	0.31	0.54	0.73
GCF_001465545.3	0.07	0.04	0.33	0.45	0.75
GCF_000632805.1	0.07	0.04	0.26	0.86	0.74
GCF_000177615.2	0.07	0.05	0.51	0.25	0.72
GCF_000009125.1	0.07	0.05	0.32	0.41	0.71
GCF_000444875.1	0.07	0.04	0.34	0.27	0.72
GCF_001678905.1	0.06	0.01	0.31	0.31	0.44
GCF_000196875.1	0.06	0.03	0.31	0.52	0.64
GCF_000215325.1	0.06	0.04	0.3	0.41	0.72
GCF_001267175.1	0.06	0.02	0.22	0.55	0.44
GCF_001442815.1	0.06	0.02	0.29	0.24	0.48
GCF_000010105.1	0.06	0.03	0.35	0.23	0.7
GCF_000020045.1	0.06	0.21	0.55	0.45	0.82
GCF_001688625.1	0.06	0.11	0.39	0.16	0.35
GCF_000009745.1	0.06	0.03	0.28	0.93	0.55
GCF_000014145.1	0.06	0.04	0.29	0.59	0.65
GCF_000013025.1	0.06	0.03	0.34	0.39	0.62
GCF_001499655.1	0.06	0.01	0.15	0.26	0.47
GCF_000277715.1	0.06	0.04	0.02	0.5	0.45
GCF_000162235.2	0.06	0.02	0.07	0.09	0.2
GCF_900011245.1	0.06	0.05	0.45	0.78	0.78
GCF_000196095.1	0.06	0.03	0.29	0.95	0.54
GCF_000709555.1	0.06	0.0	0.12	0.35	0.08
GCF_001553935.1	0.06	0.04	0.22	0.14	0.45
GCF_001021385.1	0.06	0.04	0.37	0.22	0.72
GCF_000402035.1	0.06	0.17	0.43	0.55	0.77
GCF_000019445.1	0.06	0.04	0.35	0.72	0.69
GCF_000441555.1	0.06	0.03	0.19	0.08	0.28
GCF_000972765.1	0.06	0.03	0.32	0.58	0.54
GCF_000973625.1	0.06	0.13	0.54	0.36	0.64
GCF_000091465.1	0.06	0.03	0.34	0.8	0.54
GCF_000304215.1	0.06	0.01	0.13	0.0	0.16
GCF_000217635.1	0.06	0.05	0.14	0.1	0.18
GCF_001507665.1	0.06	0.03	0.36	0.39	0.6
GCF_001606025.1	0.06	0.04	0.24	0.38	0.61
GCF_001189495.1	0.06	0.05	0.12	0.11	0.23
GCF_000024105.1	0.06	0.01	0	0.21	0.14
GCF_000147075.1	0.06	0.08	0.47	0.16	0.37
GCF_000961095.1	0.06	0.03	0.36	0.33	0.6
GCF_000145035.1	0.06	0.13	0.09	0.07	0.23
GCF_001023575.1	0.06	0.1	0.36	0.29	0.64
GCF_000008385.1	0.06	0.02	0.13	0.36	0.31
GCF_000016645.1	0.06	0.04	0.33	0.45	0.72
GCF_000172995.2	0.06	0.11	0.27	0.28	0.61
GCF_000305785.2	0.06	0.02	0.26	0.89	0.53
GCF_000013865.1	0.06	0.05	0.41	0.35	0.76
GCF_000007685.1	0.06	0.03	0.34	0.4	0.63
GCF_000024785.1	0.06	0.03	0.33	0.22	0.67
GCF_000011945.1	0.06	0.03	0.17	0.35	0.33
GCF_001433955.1	0.06	0.03	0.08	0.03	0.2
GCF_000525635.1	0.06	0.04	0.34	0.21	0.75
GCF_001186335.1	0.06	0.04	0.31	0.53	0.7
GCF_000055785.1	0.06	0.06	0.25	0.15	0.6
GCF_001025195.1	0.06	0.01	0.13	0.02	0.13
GCF_000018005.1	0.06	0.07	0.59	0.27	0.8
GCF_000283475.1	0.06	0.04	0.39	0.41	0.74
GCF_001187505.1	0.06	0.04	0.43	0.22	0.7
GCF_000020205.1	0.06	0.04	0.4	0.63	0.74
GCF_000973105.1	0.06	0.05	0.33	0.5	0.53
GCF_000025265.1	0.06	0.04	0.4	0.31	0.68
GCF_000155675.2	0.06	0.05	0.44	0.38	0.72
GCF_000024285.1	0.06	0.02	0.43	0.19	0.45
GCF_000024065.1	0.06	0.04	0.31	0.33	0.59
GCF_000185885.1	0.06	0.01	0.23	0.19	0.45
GCF_000091725.1	0.05	0.03	0.21	0.19	0.53
GCF_000011805.1	0.05	0.05	0.23	0.79	0.5
GCF_000196495.1	0.05	0.03	0.31	0.78	0.51
GCF_000186385.1	0.05	0.02	0.37	0.27	0.5
GCF_000144625.1	0.05	0.04	0.13	0.11	0.35
GCF_001011155.1	0.05	0.06	0.34	0.68	0.71
GCF_000732945.1	0.05	0.0	0.22	0.32	0.37
GCF_000758665.1	0.05	0.05	0.56	0.37	0.59
GCF_001412575.1	0.05	0.07	0.49	0.54	0.73
GCF_000013085.1	0.05	0.14	0.46	0.6	0.7
GCF_000025205.1	0.05	0.01	0.1	0.1	0.08
GCF_000008565.1	0.05	0.05	0.36	0.36	0.65
GCF_000550765.1	0.05	0.03	0.32	0.71	0.64
GCF_000830985.1	0.05	0.02	0.21	0.21	0.52
GCF_000020605.1	0.05	0.09	0.17	0.07	0.23
GCF_000213235.1	0.05	0.12	0.02	0.1	0.17
GCF_000175935.2	0.05	0.09	0.56	0.63	0.78
GCF_000024825.1	0.05	0.03	0.27	0.95	0.53
GCF_000021025.1	0.05	0.03	0.28	0.72	0.65
GCF_000163055.2	0.05	0.02	0.04	0.37	0.24
GCF_000008025.1	0.05	0.03	0.17	0.35	0.32
GCF_000017545.1	0.05	0.03	0	0.08	0.29
GCF_000013645.1	0.05	0.2	0.66	0.55	0.85
GCF_000319225.1	0.05	0.06	0.08	0.05	0.29
GCF_000503895.1	0.05	0.19	0.35	0.76	0.73
GCF_000010205.1	0.05	0.02	0.14	0.36	0.33
GCF_000063545.1	0.05	0.02	0.14	0.38	0.31
GCF_000013365.1	0.05	0.1	0.72	0.74	0.78
GCF_000017705.1	0.05	0.03	0.3	0.76	0.53
GCF_001007995.1	0.05	0.03	0.36	0.35	0.62
GCF_000016205.1	0.05	0.09	0.65	0.45	0.83
GCF_000283535.1	0.05	0.06	0.3	0.33	0.72
GCF_000196355.1	0.05	0.04	0.31	0.69	0.65
GCF_000017605.1	0.05	0.03	0.29	0.48	0.64
GCF_000816845.1	0.05	0.18	0.59	0.72	0.85
GCF_000026105.1	0.05	0.05	0.41	0.49	0.7
GCF_000412265.2	0.05	0.04	0.42	0.2	0.71
GCF_000013165.1	0.05	0.01	0.12	0.38	0.32
GCF_001007935.1	0.05	0.07	0.3	0.79	0.66
GCF_001636015.1	0.05	0.03	0.21	0.46	0.5
GCF_000093165.1	0.05	0.03	0.15	0.3	0.13
GCF_000376585.1	0.05	0.03	0.2	0.33	0.33
GCF_000025185.1	0.05	0.17	0.35	0.6	0.7
GCF_000767465.1	0.05	0.04	0.43	0.69	0.72
GCF_001412535.1	0.05	0.12	0.57	0.48	0.75
GCF_001466725.1	0.05	0.03	0.26	0.8	0.54
GCF_000010425.1	0.05	0.01	0.13	0.08	0.13
GCF_000255355.1	0.05	0.02	0.09	0.35	0.27
GCF_001263395.1	0.05	0.0	0.12	0.1	0.1
GCF_000832305.1	0.05	0.04	0.41	0.42	0.75
GCF_001305675.1	0.05	0.02	0.34	0.23	0.68
GCF_001688965.1	0.05	0.05	0.16	0.13	0.3
GCF_000706765.1	0.05	0.0	0.17	0.0	0.18
GCF_000746525.1	0.05	0.05	0.25	0.72	0.71
GCF_001025215.1	0.05	0.01	0.15	0.02	0.17
GCF_000695235.1	0.05	0.08	0.4	0.2	0.71
GCF_000024445.1	0.05	0.01	0.15	0.0	0.15
GCF_001050475.1	0.05	0.01	0.06	0.04	0.14
GCF_000013985.1	0.05	0.04	0.33	0.69	0.7
GCF_000013705.1	0.05	0.18	0.51	0.17	0.68
GCF_000158275.2	0.04	0.03	0.08	0.1	0.18
GCF_000219725.1	0.04	0.03	0.11	0.09	0.24
GCF_000299095.1	0.04	0.09	0.16	0.39	0.48
GCF_000023905.1	0.04	0.05	0.07	0.14	0.15
GCF_000025305.1	0.04	0.02	0.06	0.09	0.24
GCF_000185905.1	0.04	0.2	0.61	0.37	0.79
GCF_000091125.1	0.04	0.08	0.33	0.69	0.7
GCF_000011245.1	0.04	0.05	0.4	0.32	0.47
GCF_000267545.1	0.04	0.07	0.36	0.79	0.6
GCF_000092925.1	0.04	0.18	0.3	0.71	0.7
GCF_000242635.2	0.04	0.03	0.22	0.59	0.63
GCF_000816085.1	0.04	0.01	0.28	0.2	0.45
GCF_000007625.1	0.04	0.08	0.03	0.11	0.27
GCF_000178115.2	0.04	0.08	0.31	0.14	0.31
GCF_000772105.1	0.04	0.04	0.28	0.76	0.53
GCF_000270205.1	0.04	0.04	0	0.06	0.07
GCF_000283555.1	0.04	0.0	0	0.06	0.09
GCF_000018845.1	0.04	0.21	0.67	0.59	0.78
GCF_000227705.2	0.04	0.06	0.32	0.35	0.57
GCF_000023745.1	0.04	0.19	0.32	0.43	0.69
GCF_000017265.1	0.04	0.07	0.31	0.54	0.69
GCF_000190575.1	0.04	0.02	0.08	0.08	0.32
GCF_001077715.1	0.04	0.02	0.08	0.15	0.3
GCF_000763535.1	0.04	0.04	0.27	0.77	0.61
GCF_000007785.1	0.04	0.02	0.02	0.06	0.18
GCF_000180175.2	0.04	0.05	0.4	0.55	0.6
GCF_000331995.1	0.04	0.11	0.34	0.11	0.27
GCF_000632985.1	0.04	0.01	0.11	0.38	0.33
GCF_000266885.1	0.04	0.02	0.36	0.59	0.64
GCF_001078055.1	0.04	0.04	0.31	0.51	0.58
GCF_000347695.1	0.04	0.01	0.13	0.08	0.14
GCF_000968195.1	0.04	0.05	0.23	0.28	0.53
GCF_000222485.1	0.04	0.03	0.25	0.4	0.55
GCF_000164965.1	0.04	0.07	0.05	0.0	0.09
GCF_001455085.1	0.04	0.06	0.3	0.06	0.24
GCF_000020665.1	0.04	0.04	0.22	0.4	0.6
GCF_000264455.2	0.04	0.02	0.42	0.52	0.73
GCF_000013125.1	0.04	0.02	0.12	0.33	0.3
GCF_000262715.1	0.04	0.03	0.15	0.3	0.13
GCF_001580455.1	0.04	0.04	0.31	0.65	0.75
GCF_000284155.1	0.04	0.01	0.17	0.4	0.3
GCF_000590475.1	0.04	0.04	0.42	0.69	0.72
GCF_000412695.1	0.04	0.04	0.32	0.61	0.71
GCF_000186225.1	0.04	0.05	0.09	0.13	0.31
GCF_000755705.1	0.04	0.02	0	0.06	0.21
GCF_000348805.1	0.04	0.02	0.19	0.3	0.14
GCF_000730385.1	0.04	0.04	0.37	0.63	0.56
GCF_000706725.1	0.04	0.02	0.42	0.34	0.48
GCF_000015545.1	0.04	0.05	0.31	0.64	0.71
GCF_000010125.1	0.04	0.03	0.28	0.11	0.33
GCF_000960975.1	0.04	0.06	0.59	0.68	0.77
GCF_000010185.1	0.04	0.01	0	0.05	0.2
GCF_000155735.2	0.04	0.06	0.45	0.38	0.66
GCF_000007025.1	0.04	0.02	0.17	0.38	0.31
GCF_000012565.1	0.04	0.02	0.17	0.35	0.33
GCF_000013145.1	0.04	0.02	0.17	0.38	0.33
GCF_000024505.1	0.04	0.02	0.17	0.35	0.33
GCF_000026005.1	0.04	0.02	0.19	0.35	0.33
GCF_000508225.1	0.04	0.02	0.18	0.35	0.33
GCF_000632845.1	0.04	0.02	0.17	0.35	0.33
GCF_000179015.2	0.04	0.05	0.32	0.58	0.72
GCF_000060285.1	0.04	0.01	0.27	0.14	0.29
GCF_000007525.1	0.04	0.01	0.13	0.0	0.12
GCF_000022605.2	0.04	0.0	0.27	0.3	0.18
GCF_001534645.1	0.04	0.01	0.22	0.36	0.53
GCF_000236405.1	0.03	0.2	0.14	0.43	0.12
GCF_000178835.2	0.03	0.06	0.58	0.08	0.39
GCF_000072485.1	0.03	0.04	0.16	0.41	0.57
GCF_000223885.1	0.03	0.04	0.22	0.51	0.59
GCF_000025625.1	0.03	0.07	0.33	0.15	0.52
GCF_000943805.1	0.03	0.07	0.33	0.69	0.73
GCF_000023405.1	0.03	0.01	0.32	0.26	0.5
GCF_001628715.1	0.03	0.04	0.33	0.63	0.61
GCF_000834255.1	0.03	0.05	0.27	0.6	0.66
GCF_000009185.1	0.03	0.08	0.35	0.29	0.59
GCF_000159155.2	0.03	0.01	0.12	0.1	0.08
GCF_000024665.1	0.03	0.06	0.41	0.09	0.4
GCF_001263175.1	0.03	0.02	0.14	0.58	0.5
GCF_000212335.1	0.03	0.05	0.41	0.71	0.59
GCF_000966445.2	0.03	0.01	0.13	0.03	0.13
GCF_000196475.1	0.03	0.06	0.31	0.21	0.59
GCF_000954135.1	0.03	0.05	0.41	0.41	0.75
GCF_000499665.2	0.03	0.01	0.16	0.38	0.29
GCF_000511305.1	0.03	0.03	0.34	0.24	0.66
GCF_000021425.1	0.03	0.01	0.16	0.12	0.15
GCF_001535545.1	0.03	0.03	0.33	0.39	0.49
GCF_000008605.1	0.03	0.03	0.05	0.02	0.05
GCF_000591055.1	0.03	0.07	0.38	0.19	0.58
GCF_000306885.1	0.03	0.02	0.13	0.36	0.3
GCF_001563285.1	0.03	0.03	0.32	0.69	0.69
GCF_000148935.1	0.03	0.05	0.36	0.48	0.68
GCF_000006745.1	0.03	0.04	0.26	0.77	0.52
GCF_000340905.1	0.03	0.04	0.09	0.05	0.24
GCF_000319245.1	0.03	0.04	0.07	0.05	0.26
GCF_000758265.1	0.03	0.05	0.35	0.74	0.74
GCF_001274595.1	0.03	0.04	0.16	0.4	0.57
GCF_000010585.1	0.03	0.1	0.27	0.38	0.45
GCF_000008185.1	0.03	0.01	0.01	0.08	0.14
GCF_000725285.1	0.03	0.03	0.23	0.33	0.49
GCF_000284115.1	0.03	0.04	0.4	0.33	0.58
GCF_001308105.1	0.03	0.07	0.34	0.59	0.59
GCF_001484065.1	0.03	0.04	0.32	0.37	0.7
GCF_000006965.1	0.03	0.11	0.58	0.74	0.82
GCF_000213865.1	0.03	0.01	0.13	0.0	0.12
GCF_001483385.1	0.03	0.01	0.21	0.37	0.37
GCF_001027285.1	0.03	0.04	0.31	0.49	0.76
GCF_001465275.1	0.03	0.04	0.41	0.38	0.58
GCF_000046685.1	0.03	0.01	0.1	0.12	0.29
GCF_000240075.2	0.03	0.04	0.12	0.49	0.45
GCF_000006845.1	0.03	0.02	0.09	0.29	0.46
GCF_000772045.1	0.03	0.02	0.32	0.25	0.68
GCF_000010145.1	0.03	0.01	0.14	0.11	0.14
GCF_000192845.1	0.03	0.03	0.31	0.49	0.7
GCF_000204565.1	0.03	0.03	0.04	0.06	0.2
GCF_000010085.1	0.03	0.03	0.23	0.18	0.44
GCF_000093065.1	0.03	0.24	0.11	0.07	0.09
GCF_000163895.2	0.03	0.0	0	0.09	0.12
GCF_001465255.1	0.03	0.02	0.4	0.38	0.65
GCF_000340865.1	0.03	0.04	0.07	0.05	0.25
GCF_001444365.1	0.03	0.03	0.27	0.77	0.62
GCF_001640865.1	0.02	0.09	0.08	0.16	0.36
GCF_000325745.1	0.02	0.0	0.21	0.07	0.36
GCF_000006645.1	0.02	0.05	0.27	0.48	0.67
GCF_001653935.1	0.02	0.04	0.33	0.52	0.73
GCF_000204295.1	0.02	0.05	0.35	0.66	0.71
GCF_000193395.1	0.02	0.01	0	0.36	0.3
GCF_000961515.1	0.02	0.04	0.33	0.55	0.77
GCF_000238215.1	0.02	0.0	0	0.32	0.18
GCF_000284275.1	0.02	0.07	0.69	0.8	0.87
GCF_000021285.1	0.02	0.03	0	0.1	0.28
GCF_000447675.1	0.02	0.01	0.03	0.08	0.22
GCF_000012825.1	0.02	0.09	0.08	0.16	0.34
GCF_001431725.1	0.02	0.04	0.3	0.65	0.73
GCF_000242595.2	0.02	0.05	0.12	0.14	0.29
GCF_000785495.1	0.02	0.03	0.35	0.21	0.71
GCF_000949425.1	0.02	0.03	0.37	0.37	0.52
GCF_000023125.1	0.02	0.04	0.33	0.36	0.7
GCF_000012385.1	0.02	0.01	0.18	0.36	0.33
GCF_000017145.1	0.02	0.12	0.6	0.73	0.83
GCF_000009925.1	0.02	0.05	0.02	0.49	0.34
GCF_000219105.1	0.02	0.03	0.33	0.51	0.7
GCF_000730425.1	0.02	0.04	0.33	0.61	0.72
GCF_000283615.1	0.02	0.0	0.16	0.05	0.14
GCF_001262055.1	0.02	0.0	0	0.03	0.29
GCF_000747525.1	0.02	0.03	0.38	0.54	0.57
GCF_000739085.1	0.02	0.03	0.32	0.21	0.72
GCF_000829315.1	0.02	0.03	0.17	0.35	0.32
GCF_000146185.1	0.02	0.08	0.25	0.07	0.22
GCF_001293045.1	0.02	0.17	0.3	0.5	0.74
GCF_000015365.1	0.02	0.07	0.33	0.63	0.6
GCF_000253035.1	0.02	0.13	0.1	0.42	0.54
GCF_000148685.1	0.02	0.17	0.32	0.5	0.77
GCF_000023025.1	0.02	0.05	0.71	0.44	0.64
GCF_000010265.1	0.02	0.05	0.37	0.09	0.33
GCF_000330865.1	0.02	0.05	0.34	0.6	0.7
GCF_000444995.1	0.02	0.03	0.36	0.35	0.7
GCF_001042635.1	0.02	0.01	0.15	0.03	0.16
GCF_000192745.1	0.02	0.06	0.42	0.55	0.75
GCF_001028705.1	0.02	0.04	0.41	0.72	0.69
GCF_000212695.1	0.02	0.03	0.32	0.31	0.67
GCF_001262015.1	0.02	0.05	0	0.29	0.29
GCF_001191005.1	0.02	0.04	0.33	0.58	0.77
GCF_000067205.1	0.02	0.05	0.34	0.71	0.73
GCF_000226565.1	0.02	0.03	0.3	0.46	0.53
GCF_000011025.1	0.02	0.0	0.24	0.08	0.35
GCF_000219355.1	0.02	0.02	0.11	0.33	0.31
GCF_001548235.1	0.02	0.01	0.24	0.08	0.36
GCF_000952975.1	0.02	0.01	0	0.1	0.13
GCF_001688725.1	0.02	0.03	0.08	0.14	0.32
GCF_001514355.1	0.02	0.05	0.35	0.74	0.75
GCF_000012345.1	0.02	0.03	0.2	0.4	0.5
GCF_000015305.1	0.02	0.04	0.42	0.22	0.72
GCF_000800455.1	0.02	0.01	0.13	0.01	0.13
GCF_000835205.1	0.01	0.06	0.41	0.54	0.77
GCF_000755145.1	0.01	0.01	0.01	0.01	0.16
GCF_001010285.1	0.01	0.06	0.36	0.23	0.61
GCF_000023765.2	0.01	0.01	0.15	0.07	0.3
GCF_000015285.1	0.01	0.04	0.4	0.65	0.58
GCF_001186155.3	0.01	0.15	0.21	0.36	0.41
GCF_000027145.1	0.01	0.02	0.26	0.14	0.32
GCF_000253315.1	0.01	0.12	0.0	0.08	0.06
GCF_000014745.1	0.01	0.02	0.31	0.4	0.66
GCF_000253275.1	0.01	0.02	0.33	0.43	0.51
GCF_000208385.1	0.01	0.0	0.16	0.1	0.15
GCF_000730245.1	0.01	0.02	0.17	0.4	0.32
GCF_000008045.1	0.01	0.01	0.17	0.38	0.29
GCF_000022785.1	0.01	0.01	0.17	0.4	0.31
GCF_000385945.1	0.01	0.04	0.32	0.2	0.7
GCF_001586215.1	0.01	0.0	0.26	0.3	0.43
GCF_000784965.1	0.01	0.05	0.26	0.61	0.63
GCF_000190735.1	0.01	0.04	0.32	0.54	0.57
GCF_000800255.1	0.01	0.03	0.33	0.37	0.67
GCF_000775995.1	0.01	0.01	0	0.03	0.12
GCF_000215705.1	0.01	0.05	0.32	0.36	0.72
GCF_001185205.1	0.01	0.04	0.35	0.35	0.66
GCF_000018665.1	0.01	0.04	0.33	0.48	0.74
GCF_000013045.1	0.01	0.02	0.24	0.29	0.47
GCF_000619905.2	0.01	0.02	0.3	0.7	0.67
GCF_001183865.1	0.01	0.22	0.47	0.43	0.72
GCF_000496595.1	0.01	0.01	0.15	0.07	0.31
GCF_001420915.1	0.01	0.05	0.64	0.37	0.57
