# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size250_cover10.faa.out.hmmsearch.tab
# list_file=Feli.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in Feli.txt = 32

	PF00032	PF00033	PF00034	PF00115	PF00116	PF00355	PF00378	PF00465	PF00501	PF00510	PF00550	PF00668	PF01106	PF01154	PF01521	PF01592	PF01794	PF02167	PF02421	PF02535	PF03169	PF03264	PF07664	PF07670	PF08022	PF08030	PF08540	PF09699	PF10399	PF11854	PF13434	PF13523	PF14522
Methylomonas methanica MC09	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1
Methanobacterium paludis	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Lactobacillus kefiranofaciens ZW3	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Thioalkalimicrobium cyclicum ALM1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0
Desulfotomaculum ruminis DSM 2154	1	1	1	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Isoptericola variabilis 225	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Ralstonia solanacearum Po82	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0
Corynebacterium ulcerans 809	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	1	0	1
Ramlibacter tataouinensis TTB310	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0
Enterobacter aerogenes KCTC 2190	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	1
Thermodesulfobacterium geofontis OPF15	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1
Pyrococcus yayanosii CH1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0
Buchnera aphidicola (Cinara tujafilina)	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Vibrio anguillarum 775	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1
Halopiger xanaduensis SH-6	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0
Thermodesulfatator indicus DSM 15286	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1
Pseudothermotoga thermarum DSM 5069	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Methanosalsum zhilinae DSM 4017	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1
Cellulomonas gilvus ATCC 13127	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Flexistipes sinusarabici DSM 4947	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
Zymomonas mobilis subsp. pomaceae ATCC 29192	1	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1
Runella slithyformis DSM 19594	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1	0	1	1	0	1
Paenibacillus mucilaginosus KNP414	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0
Francisella sp. TX077308	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0
Myxococcus fulvus HW-1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1
Candidatus Moranella endobia PCIT	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus necator N-1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0
Candidatus Midichloria mitochondrii IricVA	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Brevibacillus laterosporus LMG 15441	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0
Nitrosomonas sp. Is79A3	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1
Pseudomonas putida S16	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	0
Treponema caldarium DSM 7334	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Weissella koreensis KACC 15510	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Advenella kashmirensis WT001	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Capnocytophaga canimorsus Cc5	0	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1
Collimonas fungivorans Ter331	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Thermococcus sp. 4557	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Borreliella bissettii DN127	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0
Cyclobacterium marinum DSM 745	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1
Borrelia afzelii PKo	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0
Brachyspira intermedia PWS/A	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Pyrolobus fumarii 1A	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1
Stenotrophomonas maltophilia JV3	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0
Haloarcula hispanica ATCC 33960	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0
Marichromatium purpuratum 984	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	0	1
Muricauda ruestringensis DSM 13258	0	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1
Mycoplasma putrefaciens KS1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Enterobacter asburiae LF7a	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0
Lactobacillus ruminis ATCC 27782	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0
Lactobacillus sanfranciscensis TMW 1.1304	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Roseburia hominis A2-183	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0
Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Chloracidobacterium thermophilum B	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1
Micavibrio aeruginosavorus ARL-13	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0
Glaciecola nitratireducens FR1064	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0
Taylorella asinigenitalis MCE3	1	1	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Thioalkalimicrobium aerophilum AL3	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0
Thioalkalivibrio paradoxus ARh 1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	1
Thermobacillus composti KWC4	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Thiocystis violascens DSM 198	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1
Acidaminococcus intestini RyC-MR95	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0
Pelagibacterium halotolerans B2	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Rhodanobacter denitrificans	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0
Natronobacterium gregoryi SP2	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0
Natrinema pellirubrum DSM 15624	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0
Mycobacterium rhodesiae NBB3	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Halobacterium sp. DL1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0
Hyphomicrobium denitrificans 1NES1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0
Mesorhizobium australicum WSM2073	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0
Desulfosporosinus meridiei DSM 13257	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
Desulfitobacterium metallireducens DSM 15288	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1
Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1
Desulfotomaculum gibsoniae DSM 7213	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
Thermovirga lienii DSM 17291	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0
Pseudoxanthomonas spadix BD-a59	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1
Fervidobacterium pennivorans DSM 9078	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Methanosaeta harundinacea 6Ac	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0
Paenibacillus terrae HPL-003	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0
Desulfosporosinus orientis DSM 765	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Methanolinea tarda NOBI-1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Burkholderia sp. YI23	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	0
Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1
Thermus sp. CCB_US3_UF1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1
Dechlorosoma suillum PS	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0
Sphaerochaeta pleomorpha str. Grapes	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0
Owenweeksia hongkongensis DSM 17368	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1
Staphylococcus argenteus	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0
[Clostridium] clariflavum DSM 19732	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Actinoplanes sp. SE50/110	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0
Simkania negevensis Z	0	0	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0
Streptomyces cattleya NRRL 8057 = DSM 46488	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
Pediococcus claussenii ATCC BAA-344	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0
Tannerella forsythia 92A2	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1
Mycoplasma haemocanis str. Illinois	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Enterobacter cloacae EcWSU1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0
Flavobacterium columnare ATCC 49512	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1
Klebsiella michiganensis	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Aggregatibacter actinomycetemcomitans ANH9381	0	0	1	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	1
Oenococcus kitaharae DSM 17330	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0
Vibrio sp. EJY3	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1
Corynebacterium diphtheriae 31A	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0
Frateuria aurantia DSM 6220	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	1	0
Prevotella dentalis DSM 3688	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1
Singulisphaera acidiphila DSM 18658	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1
Spirochaeta africana DSM 8902	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	1	1	0
Solitalea canadensis DSM 3403	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
Bacillus sp. 1NLA3E	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	1
Sulfurimonas gotlandica GD1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1
Opitutaceae bacterium TAV5	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1
Oceanimonas sp. GK1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	1
Niabella soli DSM 19437	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1
Desulfitobacterium dichloroeliminans LMG P-21439	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Desulfitobacterium dehalogenans ATCC 51507	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Clostridium sp. BNL1100	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Streptomyces hygroscopicus subsp. jinggangensis 5008	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0
Streptococcus infantarius subsp. infantarius CJ18	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	0	0
Niastella koreensis GR20-10	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1
Thermococcus litoralis DSM 5473	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Acetobacterium woodii DSM 1030	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Gordonia polyisoprenivorans VH2	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0
Lactobacillus mucosae LM1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Saprospira grandis str. Lewin	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1
Nocardia brasiliensis ATCC 700358	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0
Methanocella conradii HZ254	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0
Deinococcus gobiensis I-0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Listeria ivanovii subsp. ivanovii PAM 55	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0
Salmonella bongori NCTC 12419	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Bartonella clarridgeiae 73	0	0	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Parachlamydia acanthamoebae UV-7	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0
Thermoproteus tenax Kra 1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0
Streptococcus oralis Uo5	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0
Novosphingobium sp. PP1Y	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1
Flavobacterium branchiophilum FL-15	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1
Hyphomicrobium sp. MC1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	0	1
Streptococcus salivarius JIM8777	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0
Desulfosporosinus acidiphilus SJ4	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
Marinitoga piezophila KA3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Corallococcus coralloides DSM 2259	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1
Rickettsia helvetica C9P9	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Pseudomonas mandelii JR-1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1
Ignavibacterium album JCM 16511	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1
Providencia stuartii MRSN 2154	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	1
Helicobacter cetorum MIT 00-7128	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1
Helicobacter cetorum MIT 99-5656	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	1	0	1
Methylophaga frappieri	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0
Methylophaga nitratireducenticrescens	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0
Prevotella intermedia 17	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
Streptomyces globisporus C-1027	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
Mycobacterium sp. MOTT36Y	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Francisella noatunensis subsp. orientalis str. Toba 04	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
Shimwellia blattae DSM 4481 = NBRC 105725	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	0	1	1
Pseudomonas fluorescens A506	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0
Blattabacterium sp. (Blaberus giganteus)	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1
Emticicia oligotrophica DSM 17448	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1
Pyrococcus sp. ST04	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0
Tistrella mobilis KA081020-065	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1
Thermogladius cellulolyticus 1633	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Sulfurospirillum barnesii SES-3	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Alistipes finegoldii DSM 17242	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Aequorivita sublithincola DSM 14238	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	0	1
