# dom_assign_file=genomes_refseq_nr_22122016_size100_cover10.faa.out.hmmsearch.tab
# list_file=suli.nr25122016.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in suli.nr25122016.txt = 161

	PF00005	PF00009	PF00034	PF00037	PF00106	PF00111	PF00124	PF00171	PF00174	PF00175	PF00202	PF00205	PF00258	PF00291	PF00296	PF00355	PF00374	PF00378	PF00384	PF00389	PF00441	PF00459	PF00484	PF00501	PF00528	PF00534	PF00556	PF00557	PF00581	PF00667	PF00848	PF00890	PF00970	PF01011	PF01058	PF01070	PF01077	PF01087	PF01208	PF01292	PF01370	PF01384	PF01507	PF01515	PF01553	PF01568	PF01571	PF01583	PF01613	PF01747	PF02332	PF02406	PF02515	PF02615	PF02635	PF02662	PF02665	PF02668	PF02770	PF02771	PF02775	PF02776	PF02826	PF02872	PF02910	PF03358	PF03404	PF03460	PF03916	PF03967	PF04069	PF04077	PF04173	PF04295	PF04358	PF04663	PF04879	PF04945	PF05239	PF05398	PF06099	PF07680	PF07682	PF07992	PF08669	PF08770	PF09084	PF09242	PF09459	PF10418	PF10518	PF11511	PF12139	PF12800	PF12806	PF12831	PF12838	PF12857	PF13183	PF13187	PF13193	PF13247	PF13360	PF13439	PF13442	PF13501	PF13531	PF13577	PF14306	PF14697	PF16867	PF17179
Flavobacterium branchiophilum FL-15	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0
Hyphomicrobium sp. MC1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0
Streptococcus salivarius JIM8777	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Desulfosporosinus acidiphilus SJ4	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1
Marinitoga piezophila KA3	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	0
Corallococcus coralloides DSM 2259	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0
Rickettsia helvetica C9P9	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0
Pseudomonas mandelii JR-1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
Ignavibacterium album JCM 16511	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0
Providencia stuartii MRSN 2154	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0
Helicobacter cetorum MIT 00-7128	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	0	0
Helicobacter cetorum MIT 99-5656	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0
Methylophaga frappieri	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0
Methylophaga nitratireducenticrescens	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1
Prevotella intermedia 17	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
Streptomyces globisporus C-1027	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0
Mycobacterium sp. MOTT36Y	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1
Francisella noatunensis subsp. orientalis str. Toba 04	1	1	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0
Shimwellia blattae DSM 4481 = NBRC 105725	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1
Pseudomonas fluorescens A506	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1
Blattabacterium sp. (Blaberus giganteus)	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0
Emticicia oligotrophica DSM 17448	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	0	0
Pyrococcus sp. ST04	1	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1
Tistrella mobilis KA081020-065	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0
Thermogladius cellulolyticus 1633	1	1	0	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	1
Sulfurospirillum barnesii SES-3	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	0	0
Alistipes finegoldii DSM 17242	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1
Aequorivita sublithincola DSM 14238	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0
Belliella baltica DSM 15883	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1
Terriglobus roseus DSM 18391	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0
Ornithobacterium rhinotracheale DSM 15997	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0
Flexibacter litoralis DSM 6794	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0
Thermococcus cleftensis	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1	1	0	1
Turneriella parva DSM 21527	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0
Mycobacterium chubuense NBB4	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1
Acetomicrobium mobile DSM 13181	1	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1
Desulfomonile tiedjei DSM 6799	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1
Pseudomonas stutzeri CCUG 29243	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0
Lactococcus garvieae ATCC 49156	1	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0
Kitasatospora setae KM-6054	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0
Erysipelothrix rhusiopathiae str. Fujisawa	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Streptococcus pasteurianus ATCC 43144	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
Candidatus Arthromitus sp. SFB-mouse-Japan	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0
Microlunatus phosphovorus NM-1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0
Eggerthella sp. YY7918	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1
Clostridium sp. SY8519	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1
Solibacillus silvestris StLB046	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	0
Enterococcus hirae ATCC 9790	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Pelosinus fermentans JBW45	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1
Pseudopropionibacterium propionicum F0230a	1	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	0	0
Mycoplasma wenyonii str. Massachusetts	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melioribacter roseus P3M-2	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0
Pseudomonas stutzeri DSM 10701	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
Myxococcus hansupus	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0
Caldilinea aerophila DSM 14535 = NBRC 104270	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1
