# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size150_cover10.faa.out.hmmsearch.tab
# list_file=Metlist.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in Metlist.txt = 90

	PF00037	PF00067	PF00115	PF00116	PF00117	PF00120	PF00142	PF00146	PF00148	PF00173	PF00174	PF00175	PF00194	PF00208	PF00296	PF00310	PF00329	PF00346	PF00361	PF00374	PF00384	PF00420	PF00441	PF00484	PF00499	PF00507	PF00662	PF00696	PF00795	PF00871	PF00970	PF00988	PF01011	PF01058	PF01077	PF01208	PF01266	PF01493	PF01515	PF01568	PF01571	PF01645	PF01913	PF01993	PF02007	PF02142	PF02239	PF02240	PF02241	PF02249	PF02289	PF02315	PF02335	PF02461	PF02552	PF02560	PF02663	PF02665	PF02741	PF02745	PF02771	PF02783	PF02786	PF02787	PF02812	PF02975	PF03060	PF03063	PF03069	PF03139	PF03201	PF03404	PF03460	PF03598	PF03599	PF03951	PF04060	PF04206	PF04207	PF04208	PF04210	PF04211	PF04267	PF04268	PF04324	PF04422	PF04432	PF04879	PF04898	PF05088	PF05369	PF05440	PF06253	PF06433	PF07732	PF07969	PF07992	PF08669	PF09472	PF09505	PF09723	PF10621	PF11576	PF11844	PF12176	PF12800	PF12838	PF13187	PF13247	PF13360	PF13442	PF13447	PF13484	PF13510	PF13522	PF13806	PF14691	PF14710	PF14711
Methanosalsum zhilinae DSM 4017	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0
Cellulomonas gilvus ATCC 13127	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1
Flexistipes sinusarabici DSM 4947	1	0	0	0	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0
Zymomonas mobilis subsp. pomaceae ATCC 29192	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	0	1	0	0
Runella slithyformis DSM 19594	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0
Paenibacillus mucilaginosus KNP414	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0
Francisella sp. TX077308	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	0	0	0
Myxococcus fulvus HW-1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0
Candidatus Moranella endobia PCIT	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0
Cupriavidus necator N-1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
Candidatus Midichloria mitochondrii IricVA	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0
Brevibacillus laterosporus LMG 15441	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0
Nitrosomonas sp. Is79A3	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0
Pseudomonas putida S16	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0
Treponema caldarium DSM 7334	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0
Weissella koreensis KACC 15510	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0
Advenella kashmirensis WT001	1	1	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0
Capnocytophaga canimorsus Cc5	1	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0
Collimonas fungivorans Ter331	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0
Thermococcus sp. 4557	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0
Borreliella bissettii DN127	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyclobacterium marinum DSM 745	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	0
Borrelia afzelii PKo	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachyspira intermedia PWS/A	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0
Pyrolobus fumarii 1A	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0
Stenotrophomonas maltophilia JV3	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1
Haloarcula hispanica ATCC 33960	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0
Marichromatium purpuratum 984	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0
Muricauda ruestringensis DSM 13258	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	0
Mycoplasma putrefaciens KS1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter asburiae LF7a	1	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1
Lactobacillus ruminis ATCC 27782	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Lactobacillus sanfranciscensis TMW 1.1304	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Roseburia hominis A2-183	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0
Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0
Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0
Chloracidobacterium thermophilum B	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0
Micavibrio aeruginosavorus ARL-13	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0
Glaciecola nitratireducens FR1064	1	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0
Taylorella asinigenitalis MCE3	1	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0
Thioalkalimicrobium aerophilum AL3	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	1	1	0	0
Thioalkalivibrio paradoxus ARh 1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1
Thermobacillus composti KWC4	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	0
Thiocystis violascens DSM 198	1	0	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0
Acidaminococcus intestini RyC-MR95	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0
Pelagibacterium halotolerans B2	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0
Rhodanobacter denitrificans	1	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1
Natronobacterium gregoryi SP2	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0
Natrinema pellirubrum DSM 15624	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0
Mycobacterium rhodesiae NBB3	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1
